Epoch,Loss
1,1374.498291
2,1374.805054
3,1374.668823
4,1376.282349
5,1376.962524
6,1378.372803
7,1379.375610
8,1378.825684
9,1379.147705
10,1379.481445
11,1378.533203
12,1379.392090
13,1378.594849
14,1379.686279
15,1380.902100
16,1380.133057
17,1379.908203
18,1378.894409
19,1378.856201
20,1378.561401
21,1460.345215
22,1531.905029
23,1597.162354
24,1656.811646
25,1708.168579
26,1754.009399
27,1798.385010
28,1836.449951
29,1870.364746
30,1903.006958
31,1833.334229
32,1768.718628
33,1712.954102
34,1661.302734
35,1616.026123
36,1574.836792
37,1537.317383
38,1506.763062
39,1475.609253
40,1448.720947
41,1424.671143
42,1403.087402
43,1382.956787
44,1364.006958
45,1347.718628
46,1332.555786
47,1318.611206
48,1305.488037
49,1293.814331
50,1282.539673
51,1289.215698
52,1294.881104
53,1300.620483
54,1305.744019
55,1309.781494
56,1312.948486
57,1315.473633
58,1317.665039
59,1318.965942
60,1318.611206
61,1355.384766
62,1387.143188
63,1414.869385
64,1438.412354
65,1459.323853
66,1476.125977
67,1491.044678
68,1503.160034
69,1512.880981
70,1520.581787
71,1462.747925
72,1411.716675
73,1363.191528
74,1319.301514
75,1277.875977
76,1239.381958
77,1202.165405
78,1169.285889
79,1139.287476
80,1112.086060
81,1085.927124
82,1061.319214
83,1038.309326
84,1016.530640
85,996.860413
86,977.170471
87,958.045288
88,941.321960
89,925.165710
90,908.458008
91,940.979065
92,968.551392
93,992.615601
94,1009.669312
95,1022.747498
96,1032.449097
97,1037.604980
98,1039.878906
99,1038.505615
100,1036.517578
101,1010.776001
102,982.999268
103,957.574341
104,931.642151
105,904.730225
106,878.916748
107,853.350830
108,827.332214
109,801.553284
110,777.908020
111,725.151550
112,678.500488
113,634.799500
114,594.414429
115,557.280151
116,523.269043
117,492.824066
118,463.720245
119,438.861694
120,413.826782
121,406.923584
122,398.885681
123,389.183777
124,379.633484
125,371.040527
126,360.820374
127,353.005005
128,343.402893
129,334.365234
130,324.525879
131,310.246338
132,297.056091
133,284.712616
134,272.226471
135,260.921875
136,250.045181
137,240.440323
138,229.806305
139,221.394058
140,211.641617
141,203.307953
142,195.761642
143,188.398285
144,181.727600
145,175.404602
146,168.508301
147,162.311722
148,156.486038
149,151.007706
150,145.782715
151,148.845184
152,150.394760
153,151.334824
154,151.562088
155,151.577713
156,150.764160
157,148.436234
158,146.192490
159,142.953033
160,140.763687
161,132.389343
162,126.169678
163,119.689163
164,113.739464
165,108.036644
166,102.654427
167,98.097099
168,93.557777
169,89.649605
170,86.555557
171,84.920151
172,82.867126
173,80.393433
174,78.172470
175,75.905998
176,74.408112
177,72.823318
178,71.623451
179,69.293526
180,67.664047
181,65.182831
182,62.583530
183,59.996063
184,58.605797
185,56.872402
186,55.016266
187,53.933186
188,52.421051
189,51.249424
190,49.597233
191,49.273193
192,48.781319
193,48.301090
194,49.033428
195,47.941723
196,47.098293
197,46.633453
198,45.901489
199,45.571350
200,45.533916
201,45.565178
202,45.683563
203,45.461559
204,45.168282
205,45.111237
206,44.044651
207,43.978157
208,43.725018
209,43.144035
210,41.979675
211,42.007618
212,41.466545
213,41.982185
214,41.063316
215,40.155483
216,39.896965
217,39.382252
218,39.303196
219,38.649967
220,38.536839
221,38.244492
222,37.246223
223,36.053814
224,35.310074
225,34.988579
226,34.562027
227,34.199844
228,34.522869
229,33.269436
230,33.323406
231,32.996712
232,32.919292
233,32.786148
234,33.068642
235,32.630966
236,32.926125
237,32.503227
238,31.890472
239,31.966631
240,31.944262
241,31.370384
242,31.172215
243,31.302299
244,31.550468
245,31.465483
246,31.123970
247,31.395992
248,31.340839
249,31.019901
250,31.514215
251,31.015234
252,30.762934
253,30.081236
254,29.601322
255,29.733448
256,29.822102
257,29.065500
258,29.671911
259,29.711288
260,29.910002
261,29.196280
262,29.059269
263,29.335377
264,28.987417
265,28.560158
266,28.371004
267,28.169895
268,27.838018
269,27.923016
270,27.899778
271,28.601463
272,28.446476
273,28.403261
274,29.167997
275,29.186573
276,28.940781
277,29.294827
278,28.672129
279,28.630571
280,28.466902
281,28.614138
282,28.484198
283,28.527830
284,28.698311
285,28.835075
286,28.122196
287,28.012329
288,27.585014
289,27.815853
290,28.000231
291,27.899002
292,28.199184
293,28.145884
294,27.672459
295,28.129190
296,27.768568
297,26.962534
298,26.699102
299,26.796705
300,26.661489
301,26.118675
302,25.868505
303,25.762270
304,25.425041
305,25.074471
306,25.134947
307,25.044756
308,25.086227
309,25.326103
310,24.872829
311,24.546495
312,24.227226
313,24.879488
314,25.009420
315,24.515833
316,24.201765
317,23.530020
318,23.720575
319,23.949987
320,24.110653
321,24.582972
322,24.414253
323,24.689997
324,24.450640
325,24.618454
326,24.974295
327,25.141785
328,24.892166
329,25.133772
330,24.902876
331,24.505527
332,24.309187
333,24.138449
334,23.985643
335,23.640720
336,23.424568
337,23.152170
338,22.839954
339,22.674843
340,22.684612
341,22.798325
342,22.942127
343,23.167627
344,23.062918
345,22.740644
346,22.266546
347,22.022217
